#Mass	 #Pos	 #RadialVel	 #TransVel	 #Potential
   0.0010	    0.5974	   -0.2638	    0.6947	   -0.0095
   0.0010	    0.5987	    0.2963	    0.1151	   -0.0107
   0.0010	    0.5990	    0.0017	    0.4645	   -0.0105
   0.0010	    0.6017	    0.0065	   -0.2663	   -0.0086
   0.0010	    0.6021	   -0.3105	    0.1398	   -0.0085
   0.0010	    0.6080	    0.4774	   -0.3615	   -0.0065
   0.0010	    0.6101	   -0.2702	    0.7181	   -0.0120
   0.0010	    0.6103	    0.2328	   -0.8457	   -0.0121
   0.0010	    0.6113	    0.4010	    0.4846	   -0.0078
   0.0010	    0.6150	   -0.5066	    0.7113	   -0.0096
   0.0010	    0.6154	    0.1014	   -0.0993	   -0.0103
   0.0010	    0.6161	   -0.5906	    0.4799	   -0.0095
   0.0010	    0.6170	   -0.1980	    0.2665	   -0.0087
   0.0010	    0.6180	   -0.0227	    0.2472	   -0.0078
   0.0010	    0.6207	    0.4665	    0.2982	   -0.0073
   0.0010	    0.6218	    0.8225	    0.2126	   -0.0071
   0.0010	    0.6259	    0.0530	    0.1412	   -0.0337
   0.0010	    0.6259	   -0.2854	    0.9195	   -0.0337
   0.0010	    0.6297	    0.1322	   -0.4445	   -0.0084
   0.0010	    0.6308	   -0.1755	    0.5766	   -0.0132
   0.0010	    0.6310	    0.2235	   -0.1116	   -0.0132
   0.0010	    0.6324	   -0.1615	   -0.9269	   -0.0092
   0.0010	    0.6340	    0.0130	    0.2036	   -0.0155
   0.0010	    0.6343	   -0.1084	    1.0417	   -0.0201
   0.0010	    0.6345	   -0.1015	   -0.1416	   -0.0256
   0.0010	    0.6346	    0.1556	   -0.4019	   -0.0255
   0.0010	    0.6348	    0.5671	   -0.4190	   -0.0182
   0.0010	    0.6380	    0.0371	    0.5778	   -0.0080
   0.0010	    0.6388	   -0.7021	    0.7161	   -0.0077
   0.0010	    0.6434	   -0.1443	    0.8401	   -0.0067
   0.0010	    0.6447	   -0.2888	    1.0225	   -0.0068
   0.0010	    0.6471	    0.1290	   -0.4777	   -0.0064
   0.0010	    0.6520	    0.1001	   -0.3192	   -0.0073
   0.0010	    0.6537	   -0.1157	   -0.4986	   -0.0222
   0.0010	    0.6538	   -0.1976	    0.7349	   -0.0222
   0.0010	    0.6555	   -0.2635	    0.4058	   -0.0089
   0.0010	    0.6566	    0.0790	   -0.4506	   -0.0098
   0.0010	    0.6575	    0.0307	   -0.4338	   -0.0126
   0.0010	    0.6577	   -0.1690	   -0.1774	   -0.0124
   0.0010	    0.6594	    0.0510	    0.4357	   -0.0126
   0.0010	    0.6596	   -0.2369	   -0.8130	   -0.0126
   0.0010	    0.6609	   -0.2330	   -0.2976	   -0.0151
   0.0010	    0.6611	    0.1433	    0.0590	   -0.0150
   0.0010	    0.6644	    0.0850	    0.6781	   -0.0112
   0.0010	    0.6648	    0.0139	   -0.1462	   -0.0132
   0.0010	    0.6650	   -0.2552	   -0.3091	   -0.0119
   0.0010	    0.6673	    0.2471	   -0.4480	   -0.0072
   0.0010	    0.6694	   -0.4482	    0.4675	   -0.0067
   0.0010	    0.6733	    0.0255	    0.9663	   -0.0070
   0.0010	    0.6745	   -0.2189	   -0.2366	   -0.0074
   0.0010	    0.6757	   -0.1408	    0.6539	   -0.0071
   0.0010	    0.6798	    0.4435	   -0.5599	   -0.0080
   0.0010	    0.6809	    0.1448	    0.8134	   -0.0200
   0.0010	    0.6810	   -0.0032	   -0.3961	   -0.0200
   0.0010	    0.6823	    0.1601	   -0.8496	   -0.0151
   0.0010	    0.6824	    0.6558	    0.5168	   -0.0149
   0.0010	    0.6876	   -0.3933	    0.1337	   -0.0073
   0.0010	    0.6885	   -0.7551	   -0.8760	   -0.0076
   0.0010	    0.6896	    0.6919	   -0.9935	   -0.0070
   0.0010	    0.6917	    0.7027	   -0.5269	   -0.0061
   0.0010	    0.6986	    0.4050	    0.3092	   -0.0081
   0.0010	    0.6990	   -0.3463	   -0.1732	   -0.0083
   0.0010	    0.7006	   -0.5682	   -0.6003	   -0.0067
   0.0010	    0.7029	    0.3188	   -0.6899	   -0.0064
   0.0010	    0.7052	   -0.3492	   -0.5234	   -0.0063
   0.0010	    0.7078	   -0.1648	    0.5243	   -0.0066
   0.0010	    0.7093	    0.0499	    0.1678	   -0.0065
   0.0010	    0.7132	   -0.3641	   -0.6167	   -0.0072
   0.0010	    0.7145	   -0.1142	    0.9043	   -0.0102
   0.0010	    0.7148	   -0.5279	    0.6534	   -0.0101
   0.0010	    0.7190	   -0.1251	   -0.4773	   -0.0141
   0.0010	    0.7193	    0.2510	   -0.3589	   -0.1782
   0.0010	    0.7193	   -0.4896	    0.3148	   -0.1781
   0.0010	    0.7207	    0.5129	   -0.1636	   -0.0116
   0.0010	    0.7214	   -0.1785	    0.2726	   -0.3014
   0.0010	    0.7214	    0.0904	   -0.8007	   -0.3014
   0.0010	    0.7221	   -0.0793	    0.3104	   -0.0131
   0.0010	    0.7225	    0.2741	    0.5729	   -0.0124
   0.0010	    0.7234	   -0.2334	    0.1366	   -0.0089
   0.0010	    0.7260	   -0.4520	   -0.6714	   -0.0065
   0.0010	    0.7347	    0.0791	   -0.3172	   -0.0077
   0.0010	    0.7354	   -0.0935	   -0.3878	   -0.0086
   0.0010	    0.7361	   -0.0314	   -0.5105	   -0.0084
   0.0010	    0.7374	   -0.6313	    0.1626	   -0.0076
   0.0010	    0.7391	   -0.5417	   -0.2450	   -0.0078
   0.0010	    0.7401	   -0.3884	   -0.4341	   -0.0080
   0.0010	    0.7415	    0.6776	    0.4506	   -0.0132
   0.0010	    0.7416	    0.4503	    0.6149	   -0.0131
   0.0010	    0.7456	   -0.3232	    0.4543	   -0.0059
   0.0010	    0.7489	    0.4875	    0.0725	   -0.0236
   0.0010	    0.7490	   -0.3725	    0.3950	   -0.0236
   0.0010	    0.7629	   -0.1577	    0.5910	   -0.0101
   0.0010	    0.7631	    0.4671	   -0.5785	   -0.0104
   0.0010	    0.7641	    0.3841	   -0.7163	   -0.0068
   0.0010	    0.7677	   -0.7364	    0.3001	   -0.0070
   0.0010	    0.7685	   -0.0721	   -0.7977	   -0.0073
   0.0010	    0.7698	   -0.2764	    0.7875	   -0.0068
   0.0010	    0.7711	    0.1309	    0.4065	   -0.0063
   0.0010	    0.7769	   -0.5994	   -0.5029	   -0.0059
   0.0010	    0.7785	    0.2360	   -0.3811	   -0.0064
   0.0010	    0.7796	   -0.5007	    0.4088	   -0.0061
   0.0010	    0.7863	   -0.6459	    0.2085	   -0.0053
   0.0010	    0.7944	    0.2709	   -0.5457	   -0.0082
   0.0010	    0.7955	    0.2615	    0.0950	   -0.0148
   0.0010	    0.7956	    0.7250	   -0.4895	   -0.0149
   0.0010	    0.7966	    0.5037	    0.7001	   -0.0106
   0.0010	    0.7973	   -0.3929	   -0.2386	   -0.0111
   0.0010	    0.7981	   -0.0133	   -0.3059	   -0.0146
   0.0010	    0.7982	    0.2732	    0.1661	   -0.0143
   0.0010	    0.8001	   -0.0416	   -0.9342	   -0.0095
   0.0010	    0.8015	    0.4396	   -0.5358	   -0.0156
   0.0010	    0.8018	   -0.4839	   -0.3170	   -0.0578
